record_type,source_code,target_code,relationship,order_or_weight
pathway,tn-bsc-botany,TNDCE-BSc-Botany,published,1
pathway,tn-ba-history,TNDCE-BA-History,published,1
pathway,tn-bcom-general,TNDCE-BCom-General,published,1
pathway,tn-bsc-zoology,TNDCE-BSc-Zoology,published,1
pathway,tn-bsc-physics,TNDCE-BSc-Physics,published,1
pathway,tn-bba,TNDCE-BBA,published,1
pathway,tn-ba-tamil-literature,TNDCE-BA-Tamil-Literature,published,1
career_pathway,19-2041.00,tn-bsc-botany,related,1
career_pathway,19-1022.00,tn-bsc-botany,foundation,2
career_pathway,25-2031.00,tn-ba-history,related,1
career_pathway,27-3043.00,tn-ba-history,foundation,1
career_pathway,13-2011.00,tn-bcom-general,primary,1
career_pathway,13-2051.00,tn-bcom-general,related,1
career_pathway,13-1081.00,tn-bcom-general,related,1
career_pathway,19-1022.00,tn-bsc-zoology,related,1
career_pathway,29-2011.00,tn-bsc-zoology,foundation,1
career_pathway,25-2031.00,tn-bsc-physics,related,2
career_pathway,15-2051.00,tn-bsc-physics,foundation,1
career_pathway,13-1081.00,tn-bba,related,2
career_pathway,11-3071.00,tn-bba,related,1
career_pathway,11-9081.00,tn-bba,related,1
career_pathway,27-3043.00,tn-ba-tamil-literature,primary,2
career_pathway,25-2031.00,tn-ba-tamil-literature,related,3
pathway_discipline,tn-bsc-botany,tn-dce-botany-e-m-1,direct,1.00000
pathway_discipline,tn-ba-history,tn-dce-history-t-m-2,direct,1.00000
pathway_discipline,tn-ba-history,tn-dce-history-t-m-5,direct,1.00000
pathway_discipline,tn-bcom-general,tn-dce-general-commerce-e-m-3,direct,1.00000
pathway_discipline,tn-bcom-general,tn-dce-general-commerce-e-m-8,direct,1.00000
pathway_discipline,tn-bsc-zoology,tn-dce-zoology-t-m-4,direct,1.00000
pathway_discipline,tn-bsc-zoology,tn-dce-zoology-e-m-6,direct,1.00000
pathway_discipline,tn-bsc-physics,tn-dce-physics-7,direct,1.00000
pathway_discipline,tn-bba,tn-dce-business-administration-e-m-9,direct,1.00000
pathway_discipline,tn-ba-tamil-literature,tn-dce-tamil-literature-10,direct,1.00000
